prompt_id,prompt_text,prompt_type,language,prompt_length,commercial_intent
P0001,"Create a cinematic 人物写真 video with coherent motion, natural lighting and clear subject details, sample 001",人物写真,en,106,medium
P0002,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号002,风景旅行,zh,28,low
P0003,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号003,社交娱乐,zh,28,low
P0004,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号004,社交娱乐,zh,28,low
P0005,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号005,人物写真,zh,33,medium
P0006,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号006,风景旅行,zh,28,low
P0007,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号007,风景旅行,zh,28,low
P0008,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号008,人物写真,zh,33,medium
P0009,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号009,二次元,zh,32,low
P0010,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号010,教育科普,zh,33,medium
P0011,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号011,人物写真,zh,33,medium
P0012,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号012,风景旅行,zh,28,low
P0013,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号013,二次元,zh,32,low
P0014,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号014,教育科普,zh,33,medium
P0015,"Create a cinematic 品牌宣传 video with coherent motion, natural lighting and clear subject details, sample 015",品牌宣传,en,106,high
P0016,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号016,社交娱乐,zh,28,low
P0017,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号017,短剧剧情,zh,31,medium
P0018,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号018,二次元,zh,32,low
P0019,"Create a cinematic 商品广告 video with coherent motion, natural lighting and clear subject details, sample 019",商品广告,en,106,high
P0020,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号020,风景旅行,zh,28,low
P0021,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号021,社交娱乐,zh,28,low
P0022,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号022,二次元,zh,32,low
P0023,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号023,二次元,zh,32,low
P0024,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号024,社交娱乐,zh,28,low
P0025,"Create a cinematic 社交娱乐 video with coherent motion, natural lighting and clear subject details, sample 025",社交娱乐,en,106,low
P0026,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号026,社交娱乐,zh,28,low
P0027,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号027,商品广告,zh,35,high
P0028,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号028,社交娱乐,zh,28,low
P0029,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号029,风景旅行,zh,28,low
P0030,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号030,短剧剧情,zh,31,medium
P0031,"Create a cinematic 商品广告 video with coherent motion, natural lighting and clear subject details, sample 031",商品广告,en,106,high
P0032,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号032,人物写真,zh,33,medium
P0033,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号033,二次元,zh,32,low
P0034,"Create a cinematic 教育科普 video with coherent motion, natural lighting and clear subject details, sample 034",教育科普,en,106,medium
P0035,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号035,二次元,zh,32,low
P0036,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号036,人物写真,zh,33,medium
P0037,"Create a cinematic 品牌宣传 video with coherent motion, natural lighting and clear subject details, sample 037",品牌宣传,en,106,high
P0038,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号038,社交娱乐,zh,28,low
P0039,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号039,商品广告,zh,35,high
P0040,"Create a cinematic 商品广告 video with coherent motion, natural lighting and clear subject details, sample 040",商品广告,en,106,high
P0041,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号041,教育科普,zh,33,medium
P0042,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号042,二次元,zh,32,low
P0043,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号043,短剧剧情,zh,31,medium
P0044,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号044,人物写真,zh,33,medium
P0045,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号045,教育科普,zh,33,medium
